sale_id,order_id,date_key,customer_key,product_key,location_key,Sales,Quantity,Discount,Profit
1,CA-2016-152156,1011,1,1,1,261.96,2,0.0,41.9136
2,CA-2016-152156,1011,1,2,1,731.94,3,0.0,219.582
3,CA-2016-138688,863,2,3,2,14.62,2,0.0,6.8714
3,CA-2016-138688,863,2,3,4,14.62,2,0.0,6.8714
3,CA-2016-138688,863,2,3,14,14.62,2,0.0,6.8714
3,CA-2016-138688,863,2,3,26,14.62,2,0.0,6.8714
3,CA-2016-138688,863,2,3,63,14.62,2,0.0,6.8714
3,CA-2016-138688,863,2,3,142,14.62,2,0.0,6.8714
4,US-2015-108966,623,3,4,3,957.5775,5,0.45,-383.031
5,US-2015-108966,623,3,5,3,22.368,2,0.2,2.5164
6,CA-2014-115812,151,4,6,2,48.86,7,0.0,14.1694
6,CA-2014-115812,151,4,6,4,48.86,7,0.0,14.1694
6,CA-2014-115812,151,4,6,14,48.86,7,0.0,14.1694
6,CA-2014-115812,151,4,6,26,48.86,7,0.0,14.1694
6,CA-2014-115812,151,4,6,63,48.86,7,0.0,14.1694
6,CA-2014-115812,151,4,6,142,48.86,7,0.0,14.1694
7,CA-2014-115812,151,4,7,2,7.28,4,0.0,1.9656
7,CA-2014-115812,151,4,7,4,7.28,4,0.0,1.9656
7,CA-2014-115812,151,4,7,14,7.28,4,0.0,1.9656
7,CA-2014-115812,151,4,7,26,7.28,4,0.0,1.9656
7,CA-2014-115812,151,4,7,63,7.28,4,0.0,1.9656
7,CA-2014-115812,151,4,7,142,7.28,4,0.0,1.9656
8,CA-2014-115812,151,4,8,2,907.152,6,0.2,90.7152
8,CA-2014-115812,151,4,8,4,907.152,6,0.2,90.7152
8,CA-2014-115812,151,4,8,14,907.152,6,0.2,90.7152
8,CA-2014-115812,151,4,8,26,907.152,6,0.2,90.7152
8,CA-2014-115812,151,4,8,63,907.152,6,0.2,90.7152
8,CA-2014-115812,151,4,8,142,907.152,6,0.2,90.7152
9,CA-2014-115812,151,4,9,2,18.504,3,0.2,5.7825
9,CA-2014-115812,151,4,9,4,18.504,3,0.2,5.7825
9,CA-2014-115812,151,4,9,14,18.504,3,0.2,5.7825
9,CA-2014-115812,151,4,9,26,18.504,3,0.2,5.7825
9,CA-2014-115812,151,4,9,63,18.504,3,0.2,5.7825
9,CA-2014-115812,151,4,9,142,18.504,3,0.2,5.7825
10,CA-2014-115812,151,4,10,2,114.9,5,0.0,34.47
10,CA-2014-115812,151,4,10,4,114.9,5,0.0,34.47
10,CA-2014-115812,151,4,10,14,114.9,5,0.0,34.47
10,CA-2014-115812,151,4,10,26,114.9,5,0.0,34.47
10,CA-2014-115812,151,4,10,63,114.9,5,0.0,34.47
10,CA-2014-115812,151,4,10,142,114.9,5,0.0,34.47
11,CA-2014-115812,151,4,11,2,1706.184,9,0.2,85.3092
11,CA-2014-115812,151,4,11,4,1706.184,9,0.2,85.3092
11,CA-2014-115812,151,4,11,14,1706.184,9,0.2,85.3092
11,CA-2014-115812,151,4,11,26,1706.184,9,0.2,85.3092
11,CA-2014-115812,151,4,11,63,1706.184,9,0.2,85.3092
11,CA-2014-115812,151,4,11,142,1706.184,9,0.2,85.3092
12,CA-2014-115812,151,4,12,2,911.424,4,0.2,68.3568
12,CA-2014-115812,151,4,12,4,911.424,4,0.2,68.3568
12,CA-2014-115812,151,4,12,14,911.424,4,0.2,68.3568
12,CA-2014-115812,151,4,12,26,911.424,4,0.2,68.3568
12,CA-2014-115812,151,4,12,63,911.424,4,0.2,68.3568
12,CA-2014-115812,151,4,12,142,911.424,4,0.2,68.3568
13,CA-2017-114412,1169,5,13,5,15.552,3,0.2,5.4432
14,CA-2016-161389,1038,6,14,6,407.976,3,0.2,132.5922
14,CA-2016-161389,1038,6,14,60,407.976,3,0.2,132.5922
14,CA-2016-161389,1038,6,14,61,407.976,3,0.2,132.5922
15,US-2015-118983,664,7,15,7,68.81,5,0.8,-123.858
16,US-2015-118983,664,7,16,7,2.544,3,0.8,-3.816
17,CA-2014-105893,304,8,17,8,665.88,6,0.0,13.3176
18,CA-2014-167164,124,9,18,9,55.5,2,0.0,9.99
19,CA-2014-143336,228,10,19,10,8.56,2,0.0,2.4824
19,CA-2014-143336,228,10,19,35,8.56,2,0.0,2.4824
19,CA-2014-143336,228,10,19,95,8.56,2,0.0,2.4824
20,CA-2014-143336,228,10,20,10,213.48,3,0.2,16.011
20,CA-2014-143336,228,10,20,35,213.48,3,0.2,16.011
20,CA-2014-143336,228,10,20,95,213.48,3,0.2,16.011
21,CA-2014-143336,228,10,21,10,22.72,4,0.2,7.384
21,CA-2014-143336,228,10,21,35,22.72,4,0.2,7.384
21,CA-2014-143336,228,10,21,95,22.72,4,0.2,7.384
22,CA-2016-137330,1042,11,22,11,19.46,7,0.0,5.0596
23,CA-2016-137330,1042,11,23,11,60.34,7,0.0,15.6884
24,US-2017-156909,1261,12,24,12,71.372,2,0.3,-1.0196
24,US-2017-156909,1261,12,24,64,71.372,2,0.3,-1.0196
24,US-2017-156909,1261,12,24,75,71.372,2,0.3,-1.0196
24,US-2017-156909,1261,12,24,106,71.372,2,0.3,-1.0196
25,CA-2015-106320,607,13,4,13,1044.63,3,0.0,240.2649
26,CA-2016-121755,718,14,25,2,11.648,2,0.2,4.2224
26,CA-2016-121755,718,14,25,4,11.648,2,0.2,4.2224
26,CA-2016-121755,718,14,25,14,11.648,2,0.2,4.2224
26,CA-2016-121755,718,14,25,26,11.648,2,0.2,4.2224
26,CA-2016-121755,718,14,25,63,11.648,2,0.2,4.2224
26,CA-2016-121755,718,14,25,142,11.648,2,0.2,4.2224
27,CA-2016-121755,718,14,26,2,90.57,3,0.0,11.7741
27,CA-2016-121755,718,14,26,4,90.57,3,0.0,11.7741
27,CA-2016-121755,718,14,26,14,90.57,3,0.0,11.7741
27,CA-2016-121755,718,14,26,26,90.57,3,0.0,11.7741
27,CA-2016-121755,718,14,26,63,90.57,3,0.0,11.7741
27,CA-2016-121755,718,14,26,142,90.57,3,0.0,11.7741
28,US-2015-150630,599,15,27,12,3083.43,7,0.5,-1665.0522
28,US-2015-150630,599,15,27,64,3083.43,7,0.5,-1665.0522
28,US-2015-150630,599,15,27,75,3083.43,7,0.5,-1665.0522
28,US-2015-150630,599,15,27,106,3083.43,7,0.5,-1665.0522
29,US-2015-150630,599,15,28,12,9.618,2,0.7,-7.0532
29,US-2015-150630,599,15,28,64,9.618,2,0.7,-7.0532
29,US-2015-150630,599,15,28,75,9.618,2,0.7,-7.0532
29,US-2015-150630,599,15,28,106,9.618,2,0.7,-7.0532
30,US-2015-150630,599,15,29,12,124.2,3,0.2,15.525
30,US-2015-150630,599,15,29,64,124.2,3,0.2,15.525
30,US-2015-150630,599,15,29,75,124.2,3,0.2,15.525
30,US-2015-150630,599,15,29,106,124.2,3,0.2,15.525
30,US-2015-150630,599,15,1339,12,124.2,3,0.2,15.525
30,US-2015-150630,599,15,1339,64,124.2,3,0.2,15.525
30,US-2015-150630,599,15,1339,75,124.2,3,0.2,15.525
30,US-2015-150630,599,15,1339,106,124.2,3,0.2,15.525
31,US-2015-150630,599,15,30,12,3.264,2,0.2,1.1016
31,US-2015-150630,599,15,30,64,3.264,2,0.2,1.1016
31,US-2015-150630,599,15,30,75,3.264,2,0.2,1.1016
31,US-2015-150630,599,15,30,106,3.264,2,0.2,1.1016
32,US-2015-150630,599,15,31,12,86.304,6,0.2,9.7092
32,US-2015-150630,599,15,31,64,86.304,6,0.2,9.7092
32,US-2015-150630,599,15,31,75,86.304,6,0.2,9.7092
32,US-2015-150630,599,15,31,106,86.304,6,0.2,9.7092
33,US-2015-150630,599,15,32,12,6.858,6,0.7,-5.715
33,US-2015-150630,599,15,32,64,6.858,6,0.7,-5.715
33,US-2015-150630,599,15,32,75,6.858,6,0.7,-5.715
33,US-2015-150630,599,15,32,106,6.858,6,0.7,-5.715
34,US-2015-150630,599,15,33,12,15.76,2,0.2,3.546
34,US-2015-150630,599,15,33,64,15.76,2,0.2,3.546
34,US-2015-150630,599,15,33,75,15.76,2,0.2,3.546
34,US-2015-150630,599,15,33,106,15.76,2,0.2,3.546
35,CA-2017-107727,1356,16,34,15,29.472,3,0.2,9.9468
35,CA-2017-107727,1356,16,34,17,29.472,3,0.2,9.9468
35,CA-2017-107727,1356,16,34,33,29.472,3,0.2,9.9468
35,CA-2017-107727,1356,16,34,67,29.472,3,0.2,9.9468
36,CA-2016-117590,1041,17,35,16,1097.544,7,0.2,123.4737
37,CA-2016-117590,1041,17,36,16,190.92,5,0.6,-147.963
38,CA-2015-117415,699,18,37,15,113.328,9,0.2,35.415
38,CA-2015-117415,699,18,37,17,113.328,9,0.2,35.415
38,CA-2015-117415,699,18,37,33,113.328,9,0.2,35.415
38,CA-2015-117415,699,18,37,67,113.328,9,0.2,35.415
39,CA-2015-117415,699,18,38,15,532.3992,3,0.32,-46.9764
39,CA-2015-117415,699,18,38,17,532.3992,3,0.32,-46.9764
39,CA-2015-117415,699,18,38,33,532.3992,3,0.32,-46.9764
39,CA-2015-117415,699,18,38,67,532.3992,3,0.32,-46.9764
40,CA-2015-117415,699,18,39,15,212.058,3,0.3,-15.147
40,CA-2015-117415,699,18,39,17,212.058,3,0.3,-15.147
40,CA-2015-117415,699,18,39,33,212.058,3,0.3,-15.147
40,CA-2015-117415,699,18,39,67,212.058,3,0.3,-15.147
41,CA-2015-117415,699,18,40,15,371.168,4,0.2,41.7564
41,CA-2015-117415,699,18,40,17,371.168,4,0.2,41.7564
41,CA-2015-117415,699,18,40,33,371.168,4,0.2,41.7564
41,CA-2015-117415,699,18,40,67,371.168,4,0.2,41.7564
42,CA-2017-120999,1317,19,41,18,147.168,4,0.2,16.5564
43,CA-2016-101343,897,20,42,2,77.88,2,0.0,3.894
43,CA-2016-101343,897,20,42,4,77.88,2,0.0,3.894
43,CA-2016-101343,897,20,42,14,77.88,2,0.0,3.894
43,CA-2016-101343,897,20,42,26,77.88,2,0.0,3.894
43,CA-2016-101343,897,20,42,63,77.88,2,0.0,3.894
43,CA-2016-101343,897,20,42,142,77.88,2,0.0,3.894
44,CA-2017-139619,1326,21,43,19,95.616,2,0.2,9.5616
45,CA-2016-118255,771,22,44,20,45.98,2,0.0,19.7714
46,CA-2016-118255,771,22,45,20,17.46,2,0.0,8.2062
47,CA-2014-146703,282,23,46,21,211.96,4,0.0,8.4784
48,CA-2016-169194,871,24,47,22,45.0,3,0.0,4.95
49,CA-2016-169194,871,24,48,22,21.8,2,0.0,6.104
50,CA-2015-115742,451,25,49,23,38.22,6,0.0,17.9634
51,CA-2015-115742,451,25,50,23,75.18,6,0.0,35.3346
52,CA-2015-115742,451,25,51,23,6.16,2,0.0,2.9568
53,CA-2015-115742,451,25,52,23,89.99,1,0.0,17.0981
54,CA-2016-105816,1044,26,53,24,15.26,7,0.0,6.2566
54,CA-2016-105816,1044,26,53,30,15.26,7,0.0,6.2566
54,CA-2016-105816,1044,26,53,46,15.26,7,0.0,6.2566
54,CA-2016-105816,1044,26,53,165,15.26,7,0.0,6.2566
55,CA-2016-105816,1044,26,54,24,1029.95,5,0.0,298.6855
55,CA-2016-105816,1044,26,54,30,1029.95,5,0.0,298.6855
55,CA-2016-105816,1044,26,54,46,1029.95,5,0.0,298.6855
55,CA-2016-105816,1044,26,54,165,1029.95,5,0.0,298.6855
56,CA-2016-111682,868,27,55,25,208.56,6,0.0,52.14
57,CA-2016-111682,868,27,56,25,32.4,5,0.0,15.552
58,CA-2016-111682,868,27,57,25,319.41,5,0.1,7.098
59,CA-2016-111682,868,27,58,25,14.56,2,0.0,6.9888
60,CA-2016-111682,868,27,47,25,30.0,2,0.0,3.3
61,CA-2016-111682,868,27,59,25,48.48,4,0.2,16.362
62,CA-2016-111682,868,27,60,25,1.68,1,0.0,0.84
63,CA-2015-135545,666,28,61,2,13.98,2,0.0,6.1512
63,CA-2015-135545,666,28,61,4,13.98,2,0.0,6.1512
63,CA-2015-135545,666,28,61,14,13.98,2,0.0,6.1512
63,CA-2015-135545,666,28,61,26,13.98,2,0.0,6.1512
